item_id,train_id,anime_title
1363,80,Detective Conan Movie 04: Captured in Her Eyes
1364,81,Detective Conan Movie 05: Countdown to Heaven
1365,82,Detective Conan Movie 06: The Phantom of Baker Street
1366,83,Detective Conan Movie 07: Crossroad in the Ancient Capital
1367,84,Detective Conan Movie 08: Magician of the Silver Sky
1505,85,Detective Conan Movie 09: Strategy Above the Depths
1506,86,Detective Conan Movie 10: Requiem of the Detectives
4447,87,Detective Conan Movie 12: Full Score of Fear
1369,88,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!
6438,89,Detective Conan OVA 09: The Stranger in 10 Years...
1726,90,Devil May Cry
5593,91,Dogs: Bullets & Carnage
4789,92,ef: A Tale of Melodies.
226,93,Elfen Lied
1250,94,Erementar Gerad
790,95,Ergo Proxy
356,96,Fate/stay night
317,97,Final Fantasy VII: Advent Children
6152,98,Final Fantasy VII: Advent Children - Venice Film Festival Footage
120,99,Fruits Basket
71,100,Full Metal Panic!
73,101,Full Metal Panic! The Second Raid
72,102,Full Metal Panic? Fumoffu
121,103,Fullmetal Alchemist
430,104,Fullmetal Alchemist: The Conqueror of Shamballa
1251,105,Fushigi no Umi no Nadia
1281,106,Gakkou no Kaidan
25183,107,Gangsta.
240,108,Genshiken
129,109,Gensoumaden Saiyuuki
132,110,GetBackers
1571,111,Ghost Hunt
32936,112,Gin no Guardian
771,113,Ginyuu Mokushiroku Meine Liebe Wieder
506,114,Glass no Kamen
1974,115,Glass no Kamen (2005)
27631,116,God Eater
242,117,Gokusen
268,118,Golden Boy
245,119,Great Teacher Onizuka
297,120,Grenadier: Hohoemi no Senshi
5041,121,Guin Saga
267,122,Gungrave
4551,123,Hakushaku to Yousei
106,124,Hana yori Dango
5835,125,Hanasakeru Seishounen
270,126,Hellsing
6904,127,Hellsing: Digest for Freaks
258,128,Hitsuji no Uta
578,129,Hotaru no Haka
431,130,Howl no Ugoku Shiro
136,131,Hunter x Hunter
138,132,Hunter x Hunter: Greed Island
139,133,Hunter x Hunter: Greed Island Final
137,134,Hunter x Hunter: Original Video Animation
160,135,"Ima, Soko ni Iru Boku"
3731,136,Itazura na Kiss
228,137,Jigoku Shoujo
1594,138,Jigoku Shoujo Futakomori
953,139,Juu Ou Sei
617,140,Juubee Ninpuuchou
153,141,Juuni Kokuki
1021,142,Kaikan Phrase
429,143,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari
2593,144,Kara no Kyoukai Movie 1: Fukan Fuukei
3782,145,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen)
3783,146,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu
1658,147,Karakuri no Kimi
2204,148,Karakurizoushi Ayatsuri Sakon
145,149,Kareshi Kanojo no Jijou
469,150,Karin
1691,151,Kaze no Stigma
1606,152,Kekkaishi
33,153,Kenpuu Denki Berserk
845,154,Kiba
6045,155,Kimi ni Todoke
2077,156,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin
3245,157,Kindaichi Shounen no Jikenbo Specials
1579,158,Kiniro no Corda: Primo Passo
5717,159,Kiniro no Corda: Secondo Passo
22535,160,Kiseijuu: Sei no Kakuritsu
1067,161,Kishin Houkou Demonbane (TV)
5039,162,Kurozuka
251,163,Kyou kara Maou!
4080,164,Kyou kara Maou! 3rd Series
2971,165,Kyou kara Maou! R
633,166,Legend of Basara
600,167,Legend of Duo
207,168,Lodoss-tou Senki
149,169,Loveless
2034,170,Lovely★Complex
1412,171,Lupin III
157,172,Mahou Sensei Negima!
1164,173,Mahou Senshi Louie
2985,174,Majin Tantei Nougami Neuro
512,175,Majo no Takkyuubin
627,176,Major S1
558,177,Major S2
1842,178,Major S3
3226,179,Major S4
5028,180,Major S5
1018,181,Majutsushi Orphen: Revenge
2445,182,Maple Colors
520,183,Marmalade Boy Movie
1483,184,Master Keaton
335,185,Matantei Loki Ragnarok
330,186,Midori no Hibi
90,187,Mobile Suit Gundam Wing
91,188,Mobile Suit Gundam Wing: Endless Waltz
164,189,Mononoke Hime
593,190,Mugen no Ryvius
3655,191,Nabari no Ou
877,192,Nana
20,193,Naruto
1074,194,Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!
761,195,Naruto: Akaki Yotsuba no Clover wo Sagase
594,196,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!
1619,197,Negima!? Haru Special!?
1210,198,NHK ni Youkoso!
1698,199,Nodame Cantabile
6187,200,Nodame Cantabile OVA
3965,201,Nodame Cantabile: Nodame to Chiaki no Umi Monogatari
4477,202,Nodame Cantabile: Paris-hen
459,203,One Piece Movie 01
1238,204,One Piece: Mamore! Saigo no Dai Butai
2020,205,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou
33983,206,Onihei
2966,207,Ookami to Koushinryou
107,208,Ou Dorobou Jing
853,209,Ouran Koukou Host Club
770,210,Pale Cocoon
1943,211,Paprika
322,212,Paradise Kiss
34300,213,Quanzhi Fashi
209,214,R.O.D: The TV
165,215,RahXephon
758,216,RahXephon: Tagen Hensoukyoku
710,217,Rec
5691,218,Rekka no Honoo: Final Burning
45,219,Rurouni Kenshin: Meiji Kenkaku Romantan
46,220,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka
401,221,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen
44,222,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
4664,223,Rurouni Kenshin: Special Techniques
168,224,s.CRY.ed
130,225,Saiyuuki Reload
131,226,Saiyuuki Reload Gunlock
166,227,Samurai 7
205,228,Samurai Champloo
419,229,Samurai Deeper Kyou
167,230,Scrapped Princess
199,231,Sen to Chihiro no Kamikakushi
679,232,Shadow Skill (1996)
678,233,Shadow Skill: Eigi
2216,234,Shigurui
1559,235,Shijou Saikyou no Deshi Kenichi
959,236,Shin Chou Kyou Ryo: Condor Hero
960,237,Shin Chou Kyou Ryo: Condor Hero II
16498,238,Shingeki no Kyojin
7662,239,Shinrei Tantei Yakumo
2596,240,Shinreigari
1557,241,Shounen Onmyouji
4722,242,Skip Beat!
3588,243,Soul Eater
3470,244,Special A
3086,245,Strait Jacket
2418,246,Stranger: Mukou Hadan
950,247,Street Fighter Alpha: Generations
1362,248,Street Fighter II Movie
876,249,Street Fighter II V
979,250,Street Fighter Zero The Animation
25,251,Sunabouzu
1072,252,Sweat Punch
173,253,Tactics
407,254,Tantei Gakuen Q
2001,255,Tengen Toppa Gurren Lagann
182,256,Tenkuu no Escaflowne
513,257,Tenkuu no Shiro Laputa
51,258,Tenshi Kinryouku
2560,259,Terra e...
2158,260,Terra e... (TV)
1048,261,The SoulTaker: Tamashii-gari
2236,262,Toki wo Kakeru Shoujo
1043,263,Tokyo Babylon
6211,264,Tokyo Magnitude 8.0
1218,265,Tonagura!
3859,266,Top Secret: The Revelation
1065,267,Touch
6,268,Trigun
27,269,Trinity Blood
177,270,Tsubasa Chronicle
969,271,Tsubasa Chronicle 2nd Season
4938,272,Tsubasa: Shunraiki
2685,273,Tsubasa: Tokyo Revelations
479,274,Ueki no Housoku
178,275,Ultra Maniac
179,276,Ultra Maniac OVA
10798,277,Un-Go
543,278,Vampire Hunter D (2000)
3457,279,Vampire Knight
4752,280,Vampire Knight: Guilty
447,281,Weiß Kreuz
446,282,Weiß Kreuz Glühen
202,283,Wolf's Rain
1023,284,Wolf's Rain OVA
156,285,X
861,286,xxxHOLiC
793,287,xxxHOLiC Movie: Manatsu no Yoru no Yume
3091,288,xxxHOLiC: Kei
1562,289,Yamato Nadeshiko Shichihenge♥
2404,290,Zombie-Loan
3354,291,Zombie-Loan Specials
11111,292,Another
31964,293,Boku no Hero Academia
33486,294,Boku no Hero Academia 2nd Season
5114,295,Fullmetal Alchemist: Brotherhood
14719,296,JoJo no Kimyou na Bouken (TV)
20899,297,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
26055,298,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
31933,299,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
32281,300,Kimi no Na wa.
28851,301,Koe no Katachi
33489,302,Little Witch Academia (TV)
15051,303,Love Live! School Idol Project
19111,304,Love Live! School Idol Project 2nd Season
32526,305,Love Live! Sunshine!!
34973,306,Love Live! Sunshine!! 2nd Season
24997,307,Love Live! The School Idol Movie
21603,308,Mekakucity Actors
10620,309,Mirai Nikki (TV)
16762,310,Mirai Nikki: Redial
32182,311,Mob Psycho 100
30,312,Neon Genesis Evangelion
31174,313,Osomatsu-san
30240,314,Prison School
31540,315,Sekkou Boys
11757,316,Sword Art Online
34009,317,To Be Hero
30795,318,Bakuon!!
33573,319,BanG Dream!
37869,320,BanG Dream! 2nd Season
22777,321,Dragon Ball Kai (2014)
28121,322,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
6746,323,Durarara!!
31376,324,Flying Witch
37245,325,Gundam Build Divers
19319,326,Gundam Build Fighters
24625,327,Gundam Build Fighters Try
23259,328,Gundam: G no Reconguista
9515,329,Highschool of the Dead: Drifters of the Dead
822,330,Initial D Extra Stage
185,331,Initial D First Stage
186,332,Initial D Second Stage
187,333,Initial D Third Stage
5680,334,K-On!
9617,335,K-On! Movie
7791,336,K-On!!
7627,337,Mitsudomoe
80,338,Mobile Suit Gundam
82,339,Mobile Suit Gundam 0080: War in the Pocket
31251,340,Mobile Suit Gundam: Iron-Blooded Orphans
85,341,Mobile Suit Zeta Gundam
31404,342,Netoge no Yome wa Onnanoko ja Nai to Omotta?
19613,343,New Initial D Movie: Legend 1 - Kakusei
28881,344,New Initial D Movie: Legend 2 - Tousou
30952,345,New Initial D Movie: Legend 3 - Mugen
19815,346,No Game No Life
17549,347,Non Non Biyori
36990,348,Non Non Biyori Movie: Vacation
23623,349,Non Non Biyori Repeat
30276,350,One Punch Man
31498,351,Pan de Peace!
20159,352,Pokemon: The Origin
32542,353,Sakamoto Desu ga?
15119,354,Senran Kagura
18119,355,Servant x Service
29786,356,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
28171,357,Shokugeki no Souma
42923,358,SK∞
16417,359,Tamako Market
31439,360,Wagamama High Spec
16742,361,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
10495,362,Yuru Yuri
12403,363,Yuru Yuri♪♪
9776,364,A-Channel
11339,365,A-Channel+smile
10737,366,A-Channel: +A-Channel
11759,367,Accel World
13939,368,Accel World EX
13859,369,Accel World: Acchel World.
31763,370,Accel World: Infinite∞Burst
713,371,Air Movie
31580,372,Ajin
32015,373,Ajin OVA
33253,374,Ajin Part 2
6547,375,Angel Beats!
9062,376,Angel Beats! Specials
10067,377,Angel Beats!: Another Epilogue
21995,378,Ao Haru Ride
9919,379,Ao no Exorcist
11737,380,Ao no Exorcist Movie
33506,381,Ao no Exorcist: Kyoto Fujouou-hen
18893,382,Aoki Hagane no Arpeggio: Ars Nova
20787,383,Black Bullet
31043,384,Boku dake ga Inai Machi
35262,385,Boku no Hero Academia 2nd Season: Hero Note
36456,386,Boku no Hero Academia 3rd Season
38408,387,Boku no Hero Academia 4th Season
36896,388,Boku no Hero Academia the Movie 1: Futari no Hero
33929,389,Boku no Hero Academia: Sukue! Kyuujo Kunren!
10719,390,Boku wa Tomodachi ga Sukunai
14967,391,Boku wa Tomodachi ga Sukunai Next
10897,392,Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi
31478,393,Bungou Stray Dogs
32867,394,Bungou Stray Dogs 2nd Season
38003,395,Bungou Stray Dogs 3rd Season
34944,396,Bungou Stray Dogs: Dead Apple
232,397,Cardcaptor Sakura
371,398,Cardcaptor Sakura Movie 1
372,399,Cardcaptor Sakura Movie 2: Fuuin Sareta Card
28999,400,Charlotte
4975,401,ChäoS;HEAd
2167,402,Clannad
1723,403,Clannad Movie
4181,404,Clannad: After Story
6351,405,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen"
4059,406,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen"
9479,407,Coppelion
15037,408,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou
552,409,Digimon Adventure
1313,410,Digimon Adventure 02
2962,411,Digimon Adventure 02 Movies
2961,412,Digimon Adventure Movie
25687,413,Digimon Adventure tri. 1: Saikai
32108,414,Digimon Adventure tri. 2: Ketsui
32551,415,Digimon Adventure tri. 3: Kokuhaku
874,416,Digimon Tamers
225,417,Dragon Ball GT
30694,418,Dragon Ball Super
813,419,Dragon Ball Z
2924,420,ef: A Tale of Memories.
376,421,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer"
14131,422,Girls & Panzer
18617,423,Girls & Panzer Movie
15811,424,Girls & Panzer Specials
18343,425,Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza
18619,426,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!
17895,427,Golden Time
23269,428,Hello!! Kiniro Mosaic
934,429,Higurashi no Naku Koro ni
1889,430,Higurashi no Naku Koro ni Kai
3652,431,Higurashi no Naku Koro ni Rei
28825,432,Himouto! Umaru-chan
30991,433,Himouto! Umaru-chan OVA
31234,434,Himouto! Umaru-chanS
35413,435,Imouto sae Ireba Ii.
11013,436,Inu x Boku SS
31405,437,Joker Game
6862,438,K-On!: Live House!
7054,439,Kaichou wa Maid-sama!
1530,440,Kanon (2006)
18679,441,Kill la Kill
21659,442,Kill la Kill Specials
36098,443,Kimi no Suizou wo Tabetai
38594,444,"Kimi to, Nami ni Noretara"
16732,445,Kiniro Mosaic
18495,446,Kitakubu Katsudou Kiroku
31798,447,Kiznaiver
34934,448,Koi to Uso
37711,449,Koi to Uso: Isshou no Koi/Koi no Kimochi
11887,450,Kokoro Connect
16001,451,Kokoro Connect: Michi Random
18153,452,Kyoukai no Kanata
25015,453,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen
28675,454,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen
13655,455,Little Busters!
20517,456,Little Busters!: EX
18195,457,Little Busters!: Refrain
17265,458,Log Horizon
23321,459,Log Horizon 2nd Season
16353,460,Love Lab
1887,461,Lucky☆Star
4472,462,Lucky☆Star: Original na Visual to Animation
20785,463,Mahouka Koukou no Rettousei
33487,464,Masamune-kun no Revenge
37377,465,Masamune-kun no Revenge OVA
1138,466,Medarot
4052,467,Medarot Damashii
37510,468,Mob Psycho 100 II
23755,469,Nanatsu no Taizai
34577,470,Nanatsu no Taizai: Imashime no Fukkatsu
31722,471,Nanatsu no Taizai: Seisen no Shirushi
18897,472,Nisekoi
24227,473,Nisekoi OVA
27787,474,Nisekoi:
31490,475,One Piece Film: Gold
4155,476,One Piece Film: Strong World
12859,477,One Piece Film: Z
34134,478,One Punch Man 2nd Season
31772,479,One Punch Man Specials
31704,480,One Punch Man: Road to Hero
32729,481,Orange
34136,482,Orange: Mirai
28297,483,Ore Monogatari!!
8769,484,Ore no Imouto ga Konnani Kawaii Wake ga Nai
10020,485,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials
13659,486,Ore no Imouto ga Konnani Kawaii Wake ga Nai.
18857,487,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials
19221,488,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru"
20939,489,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA"
27775,490,Plastic Memories
31240,491,Re:Zero kara Hajimeru Isekai Seikatsu
30015,492,ReLIFE
31716,493,Rewrite
34126,494,Rewrite 2nd Season
16051,495,Ro-Kyu-Bu! SS
529,496,Saishuu Heiki Kanojo
2476,497,School Days
3328,498,School Days: Magical Heart Kokoro-chan
3759,499,School Days: Valentine Days
37450,500,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
38329,501,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
23273,502,Shigatsu wa Kimi no Uso
23777,503,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa
18397,504,Shingeki no Kyojin OVA
25777,505,Shingeki no Kyojin Season 2
19285,506,Shingeki no Kyojin: Ano Hi Kara
25781,507,Shingeki no Kyojin: Kuinaki Sentaku
1965,508,Sola
9790,509,Sora no Otoshimono: Tokeijikake no Angeloid
21507,510,Soul Eater NOT!
9253,511,Steins;Gate
30484,512,Steins;Gate 0
11577,513,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
32188,514,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
10863,515,Steins;Gate: Oukoubakko no Poriomania
17821,516,Stella Jogakuin Koutou-ka C³-bu
7311,517,Suzumiya Haruhi no Shoushitsu
849,518,Suzumiya Haruhi no Yuuutsu
4382,519,Suzumiya Haruhi no Yuuutsu (2009)
21881,520,Sword Art Online II
27891,521,Sword Art Online II: Debriefing
31765,522,Sword Art Online Movie: Ordinal Scale
36474,523,Sword Art Online: Alicization
39597,524,Sword Art Online: Alicization - War of Underworld
20021,525,Sword Art Online: Extra Edition
30911,526,Tales of Zestiria the Cross
13333,527,Tari Tari
27419,528,"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari"
22319,529,Tokyo Ghoul
27899,530,Tokyo Ghoul √A
523,531,Tonari no Totoro
4224,532,Toradora!
2129,533,True Tears
34498,534,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?"
19023,535,"Wake Up, Girls!"
21189,536,"Wake Up, Girls! Shichinin no Idol"
20449,537,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru"
35968,538,Wotaku ni Koi wa Muzukashii
23225,539,Yuru Yuri Nachuyachumi!
30902,540,Yuru Yuri Nachuyachumi!+
30279,541,Yuru Yuri San☆Hai!
12665,542,"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal"
22199,543,Akame ga Kill!
9989,544,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
15039,545,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
32379,546,Berserk
34618,547,Blend S
1050,548,Bobobo-bo Bo-bobo
14027,549,Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai
21405,550,Bokura wa Minna Kawai-sou
14345,551,Btooom!
59,552,Chobits
14741,553,Chuunibyou demo Koi ga Shitai!
34438,554,Code Geass: Hangyaku no Lelouch I - Koudou
34439,555,Code Geass: Hangyaku no Lelouch II - Handou
34440,556,Code Geass: Hangyaku no Lelouch III - Oudou
16592,557,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
33988,558,Demi-chan wa Kataritai
35823,559,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi
8086,560,Densetsu no Yuusha no Densetsu
2471,561,Doraemon (1979)
223,562,Dragon Ball
6033,563,Dragon Ball Kai
32901,564,Eromanga-sensei
34662,565,Fate/Apocrypha
33047,566,Fate/Extra: Last Encore
34321,567,Fate/Grand Order: First Order
14829,568,Fate/kaleid liner Prisma☆Illya
20509,569,Fate/kaleid liner Prisma☆Illya 2wei!
25537,570,Fate/stay night Movie: Heaven's Feel - I. Presage Flower
6922,571,Fate/stay night Movie: Unlimited Blade Works
22297,572,Fate/stay night: Unlimited Blade Works
28701,573,Fate/stay night: Unlimited Blade Works 2nd Season
31389,574,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day
10087,575,Fate/Zero
11741,576,Fate/Zero 2nd Season
30544,577,Gakusen Toshi Asterisk
31737,578,Gakusen Toshi Asterisk 2nd Season
239,579,Gankutsuou
28907,580,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
918,581,Gintama
37349,582,Goblin Slayer
21431,583,Gokukoku no Brynhildr
17729,584,Grisaia no Kajitsu
29093,585,Grisaia no Meikyuu: Caprice no Mayu 0
29095,586,Grisaia no Rakuen
10417,587,Gyo
31859,588,Hai to Gensou no Grimgar
587,589,Hanbun no Tsuki ga Noboru Sora
15809,590,Hataraku Maou-sama!
777,591,Hellsing Ultimate
11077,592,Hellsing: The Dawn
967,593,Hokuto no Ken
12189,594,Hyouka
25159,595,Inou-Battle wa Nichijou-kei no Naka de
35639,596,Just Because!
37999,597,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
36407,598,Kenja no Mago
5042,599,Kiss x Sis
7593,600,Kiss x Sis (TV)
9260,601,Kizumonogatari I: Tekketsu-hen
31757,602,Kizumonogatari II: Nekketsu-hen
31758,603,Kizumonogatari III: Reiketsu-hen
28725,604,Kokoro ga Sakebitagatterunda.
30831,605,Kono Subarashii Sekai ni Shukufuku wo!
32937,606,Kono Subarashii Sekai ni Shukufuku wo! 2
34626,607,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!
32380,608,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!
16782,609,Kotonoha no Niwa
43,610,Koukaku Kidoutai
467,611,Koukaku Kidoutai: Stand Alone Complex
32268,612,Koyomimonogatari
32949,613,Kuzu no Honkai
17074,614,Monogatari Series: Second Season
1735,615,Naruto: Shippuuden
12467,616,Nazo no Kanojo X
15689,617,Nekomonogatari: Kuro
32,618,Neon Genesis Evangelion: The End of Evangelion
11597,619,Nisemonogatari
20507,620,Noragami
30503,621,Noragami Aragoto
17157,622,Nozoki Ana
28819,623,Okusama ga Seitokaichou!
14749,624,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
29803,625,Overlord
35073,626,Overlord II
37675,627,Overlord III
31181,628,Owarimonogatari
35247,629,Owarimonogatari 2nd Season
14407,630,Persona 3 the Movie 1: Spring of Birth
21473,631,Persona 3 the Movie 2: Midsummer Knight's Dream
24543,632,Persona 3 the Movie 3: Falling Down
31149,633,Persona 3 the Movie 4: Winter of Rebirth
527,634,Pokemon
35330,635,Poputepipikku
30296,636,Rakudai Kishi no Cavalry
32951,637,Rokudenashi Majutsu Koushi to Akashic Records
15775,638,Saint☆Oniisan
15771,639,Saint☆Oniisan (Movie)
20047,640,Sakura Trick
13759,641,Sakura-sou no Pet na Kanojo
11499,642,Sankarea
154,643,Shaman King
7724,644,Shiki
36470,645,Tada-kun wa Koi wo Shinai
35790,646,Tate no Yuusha no Nariagari
37430,647,Tensei shitara Slime Datta Ken
16870,648,The Last: Naruto the Movie
14227,649,Tonari no Kaibutsu-kun
25157,650,Trinity Seven
34822,651,Tsuki ga Kirei
28025,652,Tsukimonogatari
34902,653,Tsurezure Children
18245,654,White Album 2
14813,655,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
18753,656,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA
23847,657,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
33161,658,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA
28677,659,Yamada-kun to 7-nin no Majo
8861,660,"Yosuga no Sora: In Solitude, Where We Are Least Alone."
35507,661,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
34176,662,Zero kara Hajimeru Mahou no Sho
1195,663,Zero no Tsukaima
11319,664,Zero no Tsukaima F
1840,665,Zero no Tsukaima: Futatsuki no Kishi
3712,666,Zero no Tsukaima: Princesses no Rondo
41380,667,100-man no Inochi no Ue ni Ore wa Tatteiru
31646,668,3-gatsu no Lion
39790,669,Adachi to Shimamura
49520,670,Aharen-san wa Hakarenai
34881,671,Aho Girl
17082,672,Aiura
30123,673,Akagami no Shirayuki-hime
31173,674,Akagami no Shirayuki-hime 2nd Season
25013,675,Akatsuki no Yona
16201,676,Aku no Hana
41433,677,Akudama Drive
19429,678,Akuma no Riddle
22729,679,Aldnoah.Zero
27655,680,Aldnoah.Zero Part 2
34350,681,Alice to Zouroku
32828,682,Amaama to Inazuma
22147,683,Amagi Brilliant Park
31771,684,Amanchu!
28981,685,Ame-iro Cocoa
15085,686,Amnesia
20655,687,Amnesia OVA
35015,688,Ani ni Tsukeru Kusuri wa Nai!
37924,689,Ani ni Tsukeru Kusuri wa Nai! 2
39959,690,Ani ni Tsukeru Kusuri wa Nai! 3
42238,691,Ani ni Tsukeru Kusuri wa Nai! 4
24151,692,Ao Haru Ride OVA
30205,693,Aoharu x Kikanjuu
40532,694,Appare-Ranman!
38753,695,Araburu Kisetsu no Otome-domo yo.
16518,696,Arata Kangatari
12967,697,Arcana Famiglia
13863,698,Arve Rezzle: Kikaijikake no Yousei-tachi
5168,699,Asience: Kami wa Onna no Inochi
33046,700,B-Project: Kodou*Ambitious
10196,701,Baby Princess 3D Paradise 0 [Love]
37525,702,Babylon
5081,703,Bakemonogatari
7674,704,Bakuman.
43756,705,Bakuten!!
34636,706,Ballroom e Youkoso
22789,707,Barakamon
39195,708,Beastars
40935,709,Beastars 2nd Season
39221,710,Bem
